Date,3Mo,6Mo,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,30Yr
11/5/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
11/6/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
11/7/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
11/8/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
11/9/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09
11/13/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09
11/14/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09
11/15/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09
11/16/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/19/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09
11/20/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/21/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/23/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/26/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/27/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/28/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/29/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
11/30/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
12/3/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
12/4/1990,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
12/5/1990,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
12/6/1990,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
12/7/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/10/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/11/1990,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
12/12/1990,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
12/13/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/14/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/17/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/18/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/19/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/20/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/21/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/24/1990,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
12/26/1990,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
12/27/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/28/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
12/31/1990,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/2/1991,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
1/3/1991,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
1/4/1991,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/7/1991,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/8/1991,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/9/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/10/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/11/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/14/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/15/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/16/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/17/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/18/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/22/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/23/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/24/1991,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
1/25/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
